title,url,type,rank
"Sky Sports - Sports News, Transfers, Scores | Watch Live Sport",https://www.skysports.com/,PAGE,1
Sports News,https://www.realbuzz.com/articles-interests/sports-activities/article/top-10-most-popular-participation-sports-in-the-world/,PAGE,1
Sports Illustrated,https://games4esl.com/list-of-sports/,PAGE,1
"Get Live Cricket score updates, Football and Sports News","https://en.wikipedia.org/wiki/List_of_sports#:~:text=According%20to%20the%20World%20Sports,indigenous%20sports%20and%20sporting%20games.",PAGE,1
"BBC Sport - Scores, Fixtures, News - Live Sport","https://www.toppr.com/guides/essays/importance-of-sports/#:~:text=First%20of%20all%2C%20Sport%20refers,and%20personality%20of%20a%20person.",PAGE,1
"Yahoo Sports: Sports News, Scores, Standings, Rumors ...",https://indianexpress.com/section/sports/,PAGE,1
"Sports | Definition, History, Examples, & Facts",https://www.si.com/,PAGE,1
Sports,https://www.thedailystar.net/sports,PAGE,1
"Sky Sports - Sports News, Transfers, Scores | Watch Live Sport",https://www.bbc.com/sport,PAGE,1
Sports News,https://sports.yahoo.com/,PAGE,1
Sports Illustrated,https://www.britannica.com/sports/sports,PAGE,1
"Get Live Cricket score updates, Football and Sports News",https://www.india.com/sports/,PAGE,1
"BBC Sport - Scores, Fixtures, News - Live Sport",https://www.skysports.com/,PAGE,1
"Yahoo Sports: Sports News, Scores, Standings, Rumors ...",https://www.realbuzz.com/articles-interests/sports-activities/article/top-10-most-popular-participation-sports-in-the-world/,PAGE,1
"Sports | Definition, History, Examples, & Facts",https://games4esl.com/list-of-sports/,PAGE,1
Sports,"https://en.wikipedia.org/wiki/List_of_sports#:~:text=According%20to%20the%20World%20Sports,indigenous%20sports%20and%20sporting%20games.",PAGE,1
Sport,"https://www.toppr.com/guides/essays/importance-of-sports/#:~:text=First%20of%20all%2C%20Sport%20refers,and%20personality%20of%20a%20person.",PAGE,1
Latest Sports News & Sports Articles | AP News,https://indianexpress.com/section/sports/,PAGE,1
Sports,https://www.si.com/,PAGE,1
"Sport news, comment and results | The Guardian",https://www.thedailystar.net/sports,PAGE,1
"Latest Sports News, Live Scores, Results Today's Sports ...",https://www.bbc.com/sport,PAGE,1
"Sports News, Scores, Predictions and Analysis - USA Today",https://sports.yahoo.com/,PAGE,1
"FOX Sports News, Scores, Schedules, Odds, Shows, Streams ...",https://www.britannica.com/sports/sports,PAGE,1
"Sports News: Latest Cricket News, Live Match Scores & ...",https://www.india.com/sports/,PAGE,1
ESPN - Serving Sports Fans. Anytime. Anywhere.,https://en.wikipedia.org/wiki/Sport,PAGE,1
"Latest sports news, videos, interviews and comment",https://apnews.com/hub/sports,PAGE,1
"CBC Sports - Sports news, opinion, scores, standings ...",https://www.youtube.com/channel/UCEgdi0XIXXZ-qJOFPf4JSKw,PAGE,1
Breaking & Latest Sports News,https://www.theguardian.com/uk/sport,PAGE,1
"Sports Brief - Sport News, Transfers, Scores and Results",https://sports.ndtv.com/,PAGE,1
Sports,https://www.usatoday.com/sports/,PAGE,1
"Live Scores, Latest Sports News, Results, Cricket Updates",https://www.foxsports.com/,PAGE,1
Sports | Fox News,https://timesofindia.indiatimes.com/sports,PAGE,1
Sports,https://www.espn.com/,PAGE,1
"Sports News | Latest News, Photos & Videos - Daily Mail",https://www.cnn.com/sport,PAGE,1
"NBC Sports | Live Streams, Video, News, Schedules ...",https://www.cbc.ca/sports,PAGE,1
Sports News Today,https://www.reuters.com/sports/,PAGE,1
Sport England: Home | Uniting | The | Movement,https://sportsbrief.com/,PAGE,1
Sports - The New York Times International,https://www.washingtonpost.com/sports/,PAGE,1
Olympics Sports List,https://www.thehindu.com/sport/,PAGE,1
"Latest Sports News, Sports Updates, Cricket, Football ...",https://www.foxnews.com/sports,PAGE,1
Sports | An Open Access Journal from MDPI,https://www.hindustantimes.com/sports,PAGE,1
Sports News and Analysis,https://www.dailymail.co.uk/sport/index.html,PAGE,1
"Sport latest news, live results, updates and comment",https://www.nbcsports.com/,PAGE,1
Sports News,https://www.firstpost.com/category/sports,PAGE,1
Sports,https://www.sportengland.org/,PAGE,1
MARCA - Sports News Today & Live Sports in English,https://www.nytimes.com/international/section/sports,PAGE,1
Monumental Sports: Home,https://olympics.com/en/sports/,PAGE,1
"Sportskeeda - Sports News, Live Scores, Gaming, Fantasy ...",https://www.outlookindia.com/sports,PAGE,1
Sports - Android Apps on Google Play,https://www.mdpi.com/journal/sports,PAGE,1
"Sports News: World and National Sports Headlines, Score ...",https://www.wsj.com/sports,PAGE,1
"SuperSport – Sports video, fixtures, results and news",https://www.independent.co.uk/sport,PAGE,1
"Kansas University Jayhawks Basketball, Football, Scores ...",https://www.indiatvnews.com/sports,PAGE,1
BT Sport | The Heart of Sport,https://www.latimes.com/sports,PAGE,1
"Latest Sports News - results, live scores, fixtures",https://www.marca.com/en/,PAGE,1
EA SPORTS FC - Official Website,https://monumentalsports.com/,PAGE,1
Sport,https://www.sportskeeda.com/,PAGE,1
Sports,https://play.google.com/store/apps/category/SPORTS?hl=en_US&gl=US,PAGE,1
BT Sport | The Heart of Sport,https://www.sportsnet.ca/,PAGE,1
EA SPORTS FC - Official Website,https://supersport.com/,PAGE,1
"Sports Mole - Football, tennis, rugby, cricket, boxing, transfer ...",https://www2.kusports.com/,PAGE,1
Sports,https://www.bt.com/sport,PAGE,1
Sports Authority of India | Ministry of Youth Affairs and Sports,https://www.thesun.co.uk/sport/,PAGE,1
